feature,feature_index
std_dev nose velocity direction,feature_176
max nose velocity magnitude,feature_177
mean nose velocity magnitude,feature_178
median nose velocity magnitude,feature_179
min nose velocity magnitude,feature_180
std_dev nose velocity magnitude,feature_181
max BASE_NECK-BASE_TAIL,feature_182
mean BASE_NECK-BASE_TAIL,feature_183
median BASE_NECK-BASE_TAIL,feature_184
min BASE_NECK-BASE_TAIL,feature_185
std_dev BASE_NECK-BASE_TAIL,feature_186
max BASE_NECK-CENTER_SPINE,feature_187
mean BASE_NECK-CENTER_SPINE,feature_188
median BASE_NECK-CENTER_SPINE,feature_189
min BASE_NECK-CENTER_SPINE,feature_190
std_dev BASE_NECK-CENTER_SPINE,feature_191
max BASE_NECK-LEFT_FRONT_PAW,feature_192
mean BASE_NECK-LEFT_FRONT_PAW,feature_193
median BASE_NECK-LEFT_FRONT_PAW,feature_194
min BASE_NECK-LEFT_FRONT_PAW,feature_195
std_dev BASE_NECK-LEFT_FRONT_PAW,feature_196
max BASE_NECK-LEFT_REAR_PAW,feature_197
mean BASE_NECK-LEFT_REAR_PAW,feature_198
median BASE_NECK-LEFT_REAR_PAW,feature_199
min BASE_NECK-LEFT_REAR_PAW,feature_200
std_dev BASE_NECK-LEFT_REAR_PAW,feature_201
max BASE_NECK-MID_TAIL,feature_202
mean BASE_NECK-MID_TAIL,feature_203
median BASE_NECK-MID_TAIL,feature_204
min BASE_NECK-MID_TAIL,feature_205
std_dev BASE_NECK-MID_TAIL,feature_206
max BASE_NECK-RIGHT_FRONT_PAW,feature_207
mean BASE_NECK-RIGHT_FRONT_PAW,feature_208
median BASE_NECK-RIGHT_FRONT_PAW,feature_209
min BASE_NECK-RIGHT_FRONT_PAW,feature_210
std_dev BASE_NECK-RIGHT_FRONT_PAW,feature_211
max BASE_NECK-RIGHT_REAR_PAW,feature_212
mean BASE_NECK-RIGHT_REAR_PAW,feature_213
median BASE_NECK-RIGHT_REAR_PAW,feature_214
min BASE_NECK-RIGHT_REAR_PAW,feature_215
std_dev BASE_NECK-RIGHT_REAR_PAW,feature_216
max BASE_NECK-TIP_TAIL,feature_217
mean BASE_NECK-TIP_TAIL,feature_218
median BASE_NECK-TIP_TAIL,feature_219
min BASE_NECK-TIP_TAIL,feature_220
std_dev BASE_NECK-TIP_TAIL,feature_221
max BASE_TAIL-MID_TAIL,feature_222
mean BASE_TAIL-MID_TAIL,feature_223
median BASE_TAIL-MID_TAIL,feature_224
min BASE_TAIL-MID_TAIL,feature_225
std_dev BASE_TAIL-MID_TAIL,feature_226
max BASE_TAIL-TIP_TAIL,feature_227
mean BASE_TAIL-TIP_TAIL,feature_228
median BASE_TAIL-TIP_TAIL,feature_229
min BASE_TAIL-TIP_TAIL,feature_230
std_dev BASE_TAIL-TIP_TAIL,feature_231
max CENTER_SPINE-BASE_TAIL,feature_232
mean CENTER_SPINE-BASE_TAIL,feature_233
median CENTER_SPINE-BASE_TAIL,feature_234
min CENTER_SPINE-BASE_TAIL,feature_235
std_dev CENTER_SPINE-BASE_TAIL,feature_236
max CENTER_SPINE-LEFT_REAR_PAW,feature_237
mean CENTER_SPINE-LEFT_REAR_PAW,feature_238
median CENTER_SPINE-LEFT_REAR_PAW,feature_239
min CENTER_SPINE-LEFT_REAR_PAW,feature_240
std_dev CENTER_SPINE-LEFT_REAR_PAW,feature_241
max CENTER_SPINE-MID_TAIL,feature_242
mean CENTER_SPINE-MID_TAIL,feature_243
median CENTER_SPINE-MID_TAIL,feature_244
min CENTER_SPINE-MID_TAIL,feature_245
std_dev CENTER_SPINE-MID_TAIL,feature_246
max CENTER_SPINE-RIGHT_REAR_PAW,feature_247
mean CENTER_SPINE-RIGHT_REAR_PAW,feature_248
median CENTER_SPINE-RIGHT_REAR_PAW,feature_249
min CENTER_SPINE-RIGHT_REAR_PAW,feature_250
std_dev CENTER_SPINE-RIGHT_REAR_PAW,feature_251
max CENTER_SPINE-TIP_TAIL,feature_252
mean CENTER_SPINE-TIP_TAIL,feature_253
median CENTER_SPINE-TIP_TAIL,feature_254
min CENTER_SPINE-TIP_TAIL,feature_255
std_dev CENTER_SPINE-TIP_TAIL,feature_256
max LEFT_EAR-BASE_NECK,feature_257
mean LEFT_EAR-BASE_NECK,feature_258
median LEFT_EAR-BASE_NECK,feature_259
min LEFT_EAR-BASE_NECK,feature_260
std_dev LEFT_EAR-BASE_NECK,feature_261
max LEFT_EAR-BASE_TAIL,feature_262
mean LEFT_EAR-BASE_TAIL,feature_263
median LEFT_EAR-BASE_TAIL,feature_264
min LEFT_EAR-BASE_TAIL,feature_265
std_dev LEFT_EAR-BASE_TAIL,feature_266
max LEFT_EAR-CENTER_SPINE,feature_267
mean LEFT_EAR-CENTER_SPINE,feature_268
median LEFT_EAR-CENTER_SPINE,feature_269
min LEFT_EAR-CENTER_SPINE,feature_270
std_dev LEFT_EAR-CENTER_SPINE,feature_271
max LEFT_EAR-LEFT_FRONT_PAW,feature_272
mean LEFT_EAR-LEFT_FRONT_PAW,feature_273
median LEFT_EAR-LEFT_FRONT_PAW,feature_274
min LEFT_EAR-LEFT_FRONT_PAW,feature_275
std_dev LEFT_EAR-LEFT_FRONT_PAW,feature_276
max LEFT_EAR-LEFT_REAR_PAW,feature_277
mean LEFT_EAR-LEFT_REAR_PAW,feature_278
median LEFT_EAR-LEFT_REAR_PAW,feature_279
min LEFT_EAR-LEFT_REAR_PAW,feature_280
std_dev LEFT_EAR-LEFT_REAR_PAW,feature_281
max LEFT_EAR-MID_TAIL,feature_282
mean LEFT_EAR-MID_TAIL,feature_283
median LEFT_EAR-MID_TAIL,feature_284
min LEFT_EAR-MID_TAIL,feature_285
std_dev LEFT_EAR-MID_TAIL,feature_286
max LEFT_EAR-RIGHT_EAR,feature_287
mean LEFT_EAR-RIGHT_EAR,feature_288
median LEFT_EAR-RIGHT_EAR,feature_289
min LEFT_EAR-RIGHT_EAR,feature_290
std_dev LEFT_EAR-RIGHT_EAR,feature_291
max LEFT_EAR-RIGHT_FRONT_PAW,feature_292
mean LEFT_EAR-RIGHT_FRONT_PAW,feature_293
median LEFT_EAR-RIGHT_FRONT_PAW,feature_294
